 Sr.No , Type , Speciality , SKU Code , Short Specification , Detailed Specification , Unit Of Manufracturng , Units , Portfolio , Brand , Sub Brand , Section 
23, Suture ,NCV,ANYL103337NE,ANE-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
24, Suture ,NCV,ANYL103337Q1,SP-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
25, Suture ,NCV,ANYL20 3336,GT-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
26, Suture ,NCV,ANYL20 3336SL,GT-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 35-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
27, Suture ,NCV,ANYL203336NE,ANE-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
28, Suture ,NCV,ANYL203336Q1,SP-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
29, Suture ,NCV,ANYL203336SLNE,ANE-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 35-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
30, Suture ,NCV,ANYL203336SLQ1,SP-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 35-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
31, Suture ,NCV,ANYL30 3328,GT-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
32, Suture ,NCV,ANYL30 3328SL,GT-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 35-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
33, Suture ,NCV,ANYL303328NE,ANE-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
34, Suture ,NCV,ANYL303328Q1,SP-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
35, Suture ,NCV,ANYL303328SLNE,ANE-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 35-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
36, Suture ,NCV,ANYL303328SLQ1,SP-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 35-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
37, Suture ,NCV,ANYL40 3319,GT-POLYAMIDE Black 4-0 X 90-16MM 3/8 Circle Cutting,POLYAMIDE BLACK  4-0 X 90-16MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
38, Suture ,NCV,APCL30 1326U,GT-Polyglecaprone  Undyed 3-0 X 70-25MM 3/8 Circle Cutting,POLYGLECAPRONE  UNDYED 3-0 X 70-25MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
39, Suture ,NCV,APCL301326UNE,ANE-Polyglecaprone  Undyed 3-0 X 70-25MM 3/8 Circle Cutting,POLYGLECAPRONE  UNDYED 3-0 X 70-25MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
40, Suture ,NCV,APDX01 9262,GT- Polydioxanone  Violet 1 X 150-50MM 1/2 Circle Round Body LOOP,POLYDIOXANONE VIOLET  1 X 150-50MM 1/2 CIRCLE ROUND BODY  LOOP,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
41, Suture ,NCV,APDX01 9352,GT- Polydioxanone  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYDIOXANONE VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
42, Suture ,NCV,APDX019352Q1,SP- Polydioxanone  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYDIOXANONE VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
43, Suture ,NCV,APGA01 2347,GT-Polyglycolic Acid   Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
44, Suture ,NCV,APGA01 2347DN,GT-Polyglycolic Acid   Violet 1 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  1 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
45, Suture ,NCV,APGA01 2347DNL,GT-Polyglycolic Acid   Violet 1 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  1 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
46, Suture ,NCV,APGA01 2421,GT-Polyglycolic Acid   Violet 1 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
47, Suture ,NCV,APGA01 2826,GT-Polyglycolic Acid   Violet 1 X 35-23MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
48, Suture ,NCV,APGA10 2346,GT-Polyglycolic Acid   Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
49, Suture ,NCV,APGA10 2346DN,GT-Polyglycolic Acid   Violet 0 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  0 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
50, Suture ,NCV,APGA10 2346DNL,GT-Polyglycolic Acid   Violet 0 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  0 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
51, Suture ,NCV,APGA10 2534,GT-Polyglycolic Acid   Violet 0 X 90-36MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
52, Suture ,NCV,APGA10 2825,GT-Polyglycolic Acid   Violet 0 X 45-23MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  0 X 45-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
53, Suture ,NCV,APGA20 2317,GT-Polyglycolic Acid   Violet 2-0 X 90-30MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  2-0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
54, Suture ,NCV,APGA20 2382,GT-Polyglycolic Acid   Violet 2-0 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  2-0 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
55, Suture ,NCV,APGA30 2437,GT-Polyglycolic Acid   Violet 3-0 X 70-20MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  3-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
56, Suture ,NCV,APGA50 2403,GT-Polyglycolic Acid   Violet 5-0 X 45-16MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  5-0 X 45-16MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
57, Suture ,NCV,APGF20 2761,GT-Polyglactin 910  FAST Undyed 2-0 X 100-36MM 1/2 Circle Taper Cut,POLYGLACTIN 910 FAST UNDYED 2-0 X 100-36MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
58, Suture ,NCV,APGF20 2762,GT-Polyglactin 910  FAST Undyed 2-0 X 90-36MM 1/2 Circle Taper Cut,POLYGLACTIN 910 FAST UNDYED 2-0 X 90-36MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
59, Suture ,NCV,APGF20 2777DN,GT-Polyglactin 910  FAST Undyed 2-0X140-36MM 1/2 Circle Reverse Cutting Round Body Double  Needle ,POLYGLACTIN 910 FAST UNDYED 2-0X140-36MM 1/2 CIRCLE REVERSE CUTTING  RB DOUBLE NEEDLE  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
60, Suture ,NCV,APGF202761NE,ANE-Polyglactin 910  FAST Undyed 2-0 X 100-36MM 1/2 Circle Taper Cut,POLYGLACTIN 910 FAST UNDYED 2-0 X 100-36MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
61, Suture ,NCV,APGF202762NE,ANE-Polyglactin 910  FAST Undyed 2-0 X 90-36MM 1/2 Circle Taper Cut,POLYGLACTIN 910 FAST UNDYED 2-0 X 90-36MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
62, Suture ,NCV,APGF202777DNNE,ANE-Polyglactin 910  FAST Undyed 2-0X140-36MM 1/2 Circle Reverse Cutting Round Body Double Needle,POLYGLACTIN 910 FAST UNDYED 2-0X140-36MM HCRCRBDN,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
63, Suture ,NCV,APGF30 2732,GT-Polyglactin 910  FAST Undyed 3-0 X 70-26MM 3/8 Circle Reverse Cutting,POLYGLACTIN 910 FAST UNDYED 3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
64, Suture ,NCV,APGN01 2347,GT-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
65, Suture ,NCV,APGN01 2347DN,GT-Polyglactin 910  Violet 1 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLACTIN 910 VIOLET  1 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
66, Suture ,NCV,APGN01 2347DNL,GT-Polyglactin 910  Violet 1 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLACTIN 910 VIOLET  1 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
67, Suture ,NCV,APGN01 2347DS,GT-Polyglactin 910  Violet 1 X 110-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 110-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
68, Suture ,NCV,APGN01 2350,GT-Polyglactin 910  Violet 1 X 120-36MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 120-36MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
69, Suture ,NCV,APGN01 2421,GT-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
70, Suture ,NCV,APGN01 2826,GT-Polyglactin 910  Violet 1 X 35-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
71, Suture ,NCV,APGN012347DNLRB,GT-Polyglactin 910  Violet 1 X 180-40MM 1/2 Circle Round Body Double  Needle ,GT-POLYGLACTIN 910  VIOLET  1 X 180-40MM 1/2 CIRCLE ROUND BODY  DOUBLE NEEDLE ,DZ, 12 , P-1 ,Aspiron,Mitsu,Section A
72, Suture ,NCV,APGN012347DSNE,ANE-Polyglactin 910  Violet 1 X 110-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 110-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
73, Suture ,NCV,APGN012347NE,ANE-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
74, Suture ,NCV,APGN012347Q1,SP-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
75, Suture ,NCV,APGN012421NE,ANE-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
76, Suture ,NCV,APGN012421Q1,SP-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
77, Suture ,NCV,APGN012826NE,ANE-Polyglactin 910  Violet 1 X 35-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
78, Suture ,NCV,APGN012826Q1,SP-Polyglactin 910  Violet 1 X 35-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
79, Suture ,NCV,APGN02 2478,GT-Polyglactin 910  Violet 2 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  2 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
80, Suture ,NCV,APGN022478NE,ANE-Polyglactin 910  Violet 2 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  2 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
81, Suture ,NCV,APGN022478Q1,SP-Polyglactin 910  Violet 2 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  2 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
82, Suture ,NCV,APGN10 2338,GT-Polyglactin 910  Violet 0 X 90-30MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
83, Suture ,NCV,APGN10 2346,GT-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
84, Suture ,NCV,APGN10 2346DN,GT-Polyglactin 910  Violet 0 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLACTIN 910 VIOLET  0 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
85, Suture ,NCV,APGN10 2346DNL,GT-Polyglactin 910  Violet 0 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLACTIN 910 VIOLET  0 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
86, Suture ,NCV,APGN10 2518,GT-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Taper Cut,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
87, Suture ,NCV,APGN10 2534,GT-Polyglactin 910  Violet 0 X 90-36MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
88, Suture ,NCV,APGN10 2825,GT-Polyglactin 910  Violet 0 X 45-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 45-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
89, Suture ,NCV,APGN102338NE,ANE-Polyglactin 910  Violet 0 X 90-30MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
90, Suture ,NCV,APGN102338Q1,SP-Polyglactin 910  Violet 0 X 90-30MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
91, Suture ,NCV,APGN102346DNXL,GT-Polyglactin 910  Violet 0 X 200-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,GT-POLYGLACTIN 910  VIOLET  0 X 200-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE ,DZ, 12 , P-1 ,Aspiron,Mitsu,Section A
92, Suture ,NCV,APGN102346NE,ANE-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
93, Suture ,NCV,APGN102346Q1,SP-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
94, Suture ,NCV,APGN102518Q1,SP-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Taper Cut,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
95, Suture ,NCV,APGN102534NE,ANE-Polyglactin 910  Violet 0 X 90-36MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section N
96, Suture ,NCV,APGN102534Q1,SP-Polyglactin 910  Violet 0 X 90-36MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
97, Suture ,NCV,APGN102825Q1,SP-Polyglactin 910  Violet 0 X 45-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 45-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
98, Suture ,NCV,APGN20 2317,GT-Polyglactin 910  Violet 2-0 X 90-30MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  2-0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Aspiron,Aspiron,Section M
